id;type;source_name;proposed_canonical;reason;decision;override_canonical;notes;;;;;
Two-Arm_Dumbbell_Preacher_Curl;alias;Two-Arm Dumbbell Preacher Curl;Preacher Curl;equipment_conflict;reject;;;;;;;
Two-Arm_Kettlebell_Military_Press;alias;Two-Arm Kettlebell Military Press;OHP;kettlebell_no_wodl_equipment;reject;;;;;;;
Upright_Cable_Row;alias;Upright Cable Row;Upright Row;equipment_conflict;reject;;;;;;;
Upright_Row_-_With_Bands;alias;Upright Row - With Bands;Upright Row;equipment_conflict;reject;;;;;;;
Weighted_Jump_Squat;alias;Weighted Jump Squat;Jump Squat;equipment_conflict,category_conflict;accept;;;;;;;
Weighted_Sit-Ups_-_With_Bands;alias;Weighted Sit-Ups - With Bands;Sit-up;equipment_conflict;reject;;;;;;;
Weighted_Squat;alias;Weighted Squat;Squat;equipment_conflict;accept;;;;;;;
core:hang clean;new_exercise;hang clean;Hang Clean;curated_missing_basic_exercise;accept;;Alternating Hang Clean;;;; Hang Clean; Kettlebell Hang Clean
core:arnold press;new_exercise;arnold press;Arnold Press;curated_missing_basic_exercise;accept;;Arnold Dumbbell Press;;;; Kettlebell Arnold Press;
core:good morning;new_exercise;good morning;Good Morning;curated_missing_basic_exercise;accept;;Band Good Morning;;;; Good Morning;
core:walking lunge;new_exercise;walking lunge;Walking Lunge;curated_missing_basic_exercise;accept;;Barbell Walking Lunge;;;; Bodyweight Walking Lunge;
core:glute ham raise;new_exercise;glute ham raise;Glute-Ham Raise;curated_missing_basic_exercise;accept;;Floor Glute-Ham Raise;;;; Glute Ham Raise;
core:pistol squat;new_exercise;pistol squat;Pistol Squat;curated_missing_basic_exercise;accept;;Kettlebell Pistol Squat;;;; Smith Machine Pistol Squat;
core:snatch;new_exercise;snatch;Snatch;curated_missing_basic_exercise;accept;;One-Arm Kettlebell Snatch;;;; Snatch;
core:concentration curl;new_exercise;concentration curl;Concentration Curl;curated_missing_basic_exercise;accept;;Seated Close-Grip Concentration Barbell Curl;;;; Standing Concentration Curl;
core:renegade row;new_exercise;renegade row;Renegade Row;curated_missing_basic_exercise;accept;;Alternating Renegade Row;;;;;
core:ab rollout;new_exercise;ab rollout;Ab Rollout;curated_missing_basic_exercise;accept;;Barbell Ab Rollout;;;;;
core:ab rollout knees;new_exercise;ab rollout knees;Ab Rollout;curated_missing_basic_exercise;accept;;Barbell Ab Rollout - On Knees;;;;;
core:russian twists;new_exercise;russian twists;Russian Twist;curated_missing_basic_exercise;accept;;Cable Russian Twists;;;;;
core:concentration curls;new_exercise;concentration curls;Concentration Curl;curated_missing_basic_exercise;accept;;Concentration Curls;;;;;
core:double hang clean;new_exercise;double hang clean;Hang Clean;curated_missing_basic_exercise;accept;;Double Kettlebell Alternating Hang Clean;;;;;
core:farmer s walk;new_exercise;farmer s walk;Farmer's Walk;curated_missing_basic_exercise;accept;;Farmer's Walk;;;;;
core:windmill;new_exercise;windmill;Windmill;curated_missing_basic_exercise;accept;;Kettlebell Windmill;;;;;
core:natural glute ham raise;new_exercise;natural glute ham raise;Glute-Ham Raise;curated_missing_basic_exercise;accept;;Natural Glute Ham Raise;;;;;
core:pull through;new_exercise;pull through;Cable Pull Through;curated_missing_basic_exercise;accept;;Pull Through;;;;;
core:russian twist;new_exercise;russian twist;Russian Twist;curated_missing_basic_exercise;accept;;Russian Twist;;;;;
core:good mornings;new_exercise;good mornings;Good Morning;curated_missing_basic_exercise;accept;;Seated Good Mornings;;;;;
core:hang power clean;new_exercise;hang power clean;Hang Clean;curated_missing_basic_exercise;accept;;Smith Machine Hang Power Clean;;;;;
core:stiff good morning;new_exercise;stiff good morning;Good Morning;curated_missing_basic_exercise;accept;;Stiff Leg Barbell Good Morning;;;;;
core:sissy squat;new_exercise;sissy squat;Sissy Squat;curated_missing_basic_exercise;accept;;Weighted Sissy Squat;;;;;
core:windmills;new_exercise;windmills;Windmill;curated_missing_basic_exercise;reject;;Windmills;;;;;
core:zercher squats;new_exercise;zercher squats;Zercher Squat;curated_missing_basic_exercise;accept;;Zercher Squats;;;;;
